"","phase","objFun","maxGrad","nPar","convCode","convMsg","time"
"1","1",2271.16788160059,0.000971664561930652,14,0,"relative convergence (4)",0.04409999999995
"2","2",2265.56335375139,0.00634783558904741,24,0,"relative convergence (4)",0.0188333333333503
"3","3",1813.93844565613,0.01230614036281,219,0,"relative convergence (4)",0.0260999999999816
"4","4",1510.76714082858,0.00474961977802479,372,0,"relative convergence (4)",0.0376166666666904
"5","5",1508.14007575685,0.00432591824554152,375,0,"relative convergence (4)",0.0382166666666914
"6","6",1506.29616249925,0.00265995323344725,379,0,"relative convergence (4)",0.0452833333333426
"7","7",1491.78937399633,0.00124690554630646,382,0,"relative convergence (4)",0.0472999999999956
"8","8",1258.51558137292,0.00677619287955622,385,0,"relative convergence (4)",0.0665333333333062
"9","9",1234.71326634205,0.00862842320435675,389,0,"relative convergence (4)",0.0567833333333207
"10","10",1233.79976962677,0.00162220027958426,393,0,"relative convergence (4)",0.0490999999999985
"11","RE",NA,NA,NA,NA,NA,NA
