"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","4.126 (0.622)","260 (73)","181 (181)","228 (58)","0.494 (0.042)","0.803 (0.053)","0.25 (0.047)","0.999 (0.01)","1.071 (0.234)","0.263 (0.062)"
"2","JP/S","18.044 (2.574)","714 (170)","621 (621)","687 (152)","0.441 (0.039)","0.695 (0.034)","0.212 (0.031)","0.997 (0.008)","5.247 (0.975)","0.296 (0.066)"
"3","Lou","1.916 (0.336)","60 (21)","362 (362)","60 (21)","0.494 (0.041)","0.637 (0.052)","0.111 (0.019)","0.998 (0.011)","0.963 (0.235)","0.507 (0.108)"
