"","Stock","$B_0$","$R_0$","$R_{init}$","$\overline{R}$","$M_0$","$\overline{M}$","$q_s$","$q_d$","$B_{2019}$","$B_{2019}/B_0$"
"1","C/S","6.5 (1.045)","413.054 (102.021)","276 (276)","340 (81)","0.486 (0.04)","0.801 (0.053)","0.261 (0.052)","0.998 (0.01)","1.417 (0.288)","0.221 (0.046)"
"2","JP/S","32.635 (4.594)","1348.455 (261.507)","1090 (1090)","1258 (249)","0.442 (0.035)","0.7 (0.036)","0.21 (0.032)","0.997 (0.01)","7.252 (1.393)","0.225 (0.048)"
"3","Lou","3.73 (0.66)","116.522 (33.114)","619 (619)","107 (30)","0.488 (0.039)","0.629 (0.051)","0.12 (0.021)","0.998 (0.01)","1.065 (0.247)","0.289 (0.061)"
